iso_code,continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations,new_vaccinations,is_country,new_cases_7day_avg,new_deaths_7day_avg,new_vaccinations_7day_avg,cases_14day_total,deaths_14day_total,case_growth_rate,death_growth_rate,vaccination_growth_rate,cases_per_million,deaths_per_million,vaccinations_per_hundred,vaccinated_share,fully_vaccinated_share,booster_share,death_rate,estimated_active_cases,estimated_recoveries,recovery_rate_proxy
SLV,North America,El Salvador,2024-08-04,6336393.0,201920.0,3.0,4230.0,0.0,0.0,0.0,0.0,0.0,0.0,True,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,31866.710287698377,667.5722291846481,0.0,0.0,0.0,0.0,2.094889064976228,3.0,197687.0,97.90362519809825
GNQ,Africa,Equatorial Guinea,2024-08-04,1674916.0,17130.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10227.378567044556,109.259210611159,0.0,0.0,0.0,0.0,1.0683012259194395,0.0,16947.0,98.93169877408056
ERI,Africa,Eritrea,2024-08-04,3684041.0,10189.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2765.712976592823,27.95842934429883,0.0,0.0,0.0,0.0,1.0108941014819903,0.0,10086.0,98.98910589851802
EST,Europe,Estonia,2024-08-12,1326064.0,610471.0,0.0,2998.0,0.0,870213.0,862748.0,659459.0,2171623.0,9.0,True,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,460363.1498932178,2260.826023480013,163.76456943254624,65.62375571616454,65.06081154454084,49.730555991264374,0.4910962191488211,0.0,607473.0,99.50890378085117
SWZ,Africa,Eswatini,2024-08-04,1201680.0,75356.0,0.0,1427.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62708.87424272685,1187.5041608414886,0.0,0.0,0.0,0.0,1.8936780083868572,0.0,73929.0,98.10632199161314
ETH,Africa,Ethiopia,2024-08-04,123379928.0,501193.0,0.0,7574.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4062.1923527139684,61.38761890021527,0.0,0.0,0.0,0.0,1.5111942904230506,0.0,493619.0,98.48880570957695
OWID_EUR,Unknown,Europe,2024-08-14,744807803.0,252916868.0,39047.0,2102483.0,162.0,523814328.0,493751304.0,365099941.0,1399334208.0,64.0,False,39047.0,162.0,64.0,39047.0,162.0,0.0,0.0,0.0,339573.3328534959,2822.8530790513214,187.87856442476075,70.32879165472437,66.29244511285015,49.01934962676539,0.8312940993718142,39047.0,250775338.0,99.15326723087524
OWID_EUN,Unknown,European Union (27),2024-08-14,450146793.0,185822587.0,25642.0,1262988.0,150.0,338119562.0,327967426.0,282438789.0,951113290.0,64.0,False,25642.0,150.0,64.0,25642.0,150.0,0.0,0.0,0.0,412804.4226675186,2805.724753880452,211.28958481772412,75.11317802501817,72.85788349490696,62.74370791751925,0.6796741022661578,25642.0,184533957.0,99.30652671410715
FLK,South America,Falkland Islands,2024-08-04,3801.0,1923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505919.49486977106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1923.0,100.0
FRO,Europe,Faroe Islands,2024-08-04,53117.0,34658.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652484.1387879587,527.1382043413596,0.0,0.0,0.0,0.0,0.08078942812626233,0.0,34630.0,99.91921057187373
FJI,Oceania,Fiji,2024-08-04,929769.0,69047.0,0.0,885.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74262.5318761972,951.8493303175304,0.0,0.0,0.0,0.0,1.2817356293539184,0.0,68162.0,98.71826437064608
FIN,Europe,Finland,2024-08-04,5540745.0,1499712.0,0.0,11466.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270669.73845574923,2069.3968049422956,0.0,0.0,0.0,0.0,0.764546792984253,0.0,1488246.0,99.23545320701575
FRA,Europe,France,2024-08-04,67813000.0,38997490.0,0.0,168091.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575073.9533717723,2478.7430138763957,0.0,0.0,0.0,0.0,0.43103030477089677,0.0,38829399.0,99.5689696952291
GUF,South America,French Guiana,2024-08-04,304568.0,98041.0,0.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321901.8412965249,1356.0190170996295,0.0,0.0,0.0,0.0,0.42125233320753563,0.0,97628.0,99.57874766679247
PYF,Oceania,French Polynesia,2024-08-04,306292.0,79387.0,47.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,True,47.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,259187.3114544291,2122.157940788529,0.0,0.0,0.0,0.0,0.8187738546613424,47.0,78690.0,99.12202249738623
GAB,Africa,Gabon,2024-08-04,2388997.0,49051.0,0.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20532.047549662053,128.50581227184463,0.0,0.0,0.0,0.0,0.6258791869686653,0.0,48744.0,99.37412081303133
